participant_id,time,scale,period,angle,font_size,stripe_color,text,input_text
402,2410.0,100cm,6.0,90.0,16.0,128.0,7435,
402,5406.0,100cm,5.0,135.0,16.0,128.0,7597,1562
402,1332.0,100cm,6.0,45.0,16.0,128.0,9009,
402,3989.0,100cm,6.0,45.0,16.0,128.0,8641,8541
402,1577.0,100cm,5.0,135.0,16.0,128.0,8961,
402,993.0,100cm,6.0,135.0,16.0,128.0,9729,
402,939.0,100cm,3.0,90.0,16.0,128.0,9520,
402,2281.0,100cm,6.0,90.0,16.0,128.0,9855,
402,1021.0,100cm,8.0,45.0,16.0,128.0,1864,
402,910.0,100cm,6.0,90.0,16.0,128.0,2730,
402,908.0,100cm,8.0,90.0,16.0,128.0,4361,
402,1519.0,100cm,6.0,45.0,16.0,128.0,8575,
402,4064.0,100cm,6.0,135.0,16.0,128.0,4954,4
402,3549.0,100cm,4.0,90.0,16.0,128.0,6435,5435
402,2417.0,100cm,4.0,0.0,16.0,128.0,1472,1472
402,5267.0,100cm,4.0,0.0,16.0,128.0,6273,6273
402,1328.0,100cm,5.0,90.0,16.0,128.0,4539,
402,4172.0,100cm,7.0,90.0,16.0,128.0,5466,5486
402,2973.0,100cm,7.0,45.0,16.0,128.0,6549,
402,1292.0,100cm,7.0,135.0,16.0,128.0,1581,
402,4594.0,100cm,8.0,45.0,16.0,128.0,3962,3962
402,1852.0,100cm,8.0,90.0,16.0,128.0,8589,
402,1314.0,100cm,8.0,135.0,16.0,128.0,8370,
402,3831.0,100cm,7.0,45.0,16.0,128.0,4370,4570
402,3491.0,100cm,4.0,0.0,16.0,128.0,5251,5251
402,1037.0,100cm,8.0,45.0,16.0,128.0,3028,
402,459.0,100cm,5.0,90.0,16.0,128.0,5020,
402,2438.0,100cm,4.0,135.0,16.0,128.0,2532,
402,1963.0,100cm,4.0,90.0,16.0,128.0,3415,34
402,1271.0,100cm,6.0,135.0,16.0,128.0,5730,
402,3247.0,100cm,5.0,90.0,16.0,128.0,3538,3528
402,2298.0,100cm,8.0,135.0,16.0,128.0,5381,
402,1110.0,100cm,7.0,90.0,16.0,128.0,9937,
402,1159.0,100cm,7.0,135.0,16.0,128.0,9056,
402,1202.0,100cm,7.0,90.0,16.0,128.0,9739,
402,3115.0,100cm,7.0,135.0,16.0,128.0,2981,
402,549.0,100cm,5.0,135.0,16.0,128.0,2132,
402,1314.0,100cm,4.0,90.0,16.0,128.0,2960,
402,1248.0,100cm,7.0,45.0,16.0,128.0,9846,
402,2953.0,100cm,7.0,90.0,16.0,128.0,8130,
402,980.0,100cm,8.0,135.0,16.0,128.0,4508,
402,684.0,100cm,8.0,90.0,16.0,128.0,8276,
402,2244.0,50cm,6.0,45.0,16.0,128.0,6422,6422
402,2057.0,50cm,6.0,135.0,16.0,128.0,5544,8844
402,2701.0,50cm,8.0,135.0,16.0,128.0,8800,8800
402,2478.0,50cm,8.0,45.0,16.0,128.0,2171,2171
402,4029.0,50cm,7.0,90.0,16.0,128.0,5757,5737
402,2160.0,50cm,8.0,135.0,16.0,128.0,6376,6376
402,5381.0,50cm,7.0,90.0,16.0,128.0,4890,4896
402,2372.0,50cm,8.0,135.0,16.0,128.0,5100,8200
402,2423.0,50cm,4.0,0.0,16.0,128.0,2795,2795
402,2882.0,50cm,8.0,90.0,16.0,128.0,7132,7032
402,2050.0,50cm,7.0,135.0,16.0,128.0,1251,1251
402,1962.0,50cm,4.0,0.0,16.0,128.0,7520,7520
402,3036.0,50cm,7.0,45.0,16.0,128.0,9304,2304
402,3535.0,50cm,4.0,135.0,16.0,128.0,7892,2892
402,4730.0,50cm,7.0,90.0,16.0,128.0,8491,8491
402,2452.0,50cm,4.0,90.0,16.0,128.0,5516,5518
402,2163.0,50cm,6.0,135.0,16.0,128.0,1797,1787
402,3738.0,50cm,6.0,90.0,16.0,128.0,6152,6182
402,3983.0,50cm,8.0,45.0,16.0,128.0,7868,7868
402,2252.0,50cm,6.0,135.0,16.0,128.0,3809,3809
402,2275.0,50cm,8.0,45.0,16.0,128.0,7907,7907
402,5021.0,50cm,4.0,0.0,16.0,128.0,5842,5842
402,5177.0,50cm,5.0,90.0,16.0,128.0,1134,1136
402,2340.0,50cm,7.0,45.0,16.0,128.0,4600,4600
402,2208.0,50cm,3.0,90.0,16.0,128.0,2491,2491
402,1936.0,50cm,5.0,135.0,16.0,128.0,3881,3881
402,1895.0,50cm,8.0,90.0,16.0,128.0,7318,7318
402,4592.0,50cm,7.0,135.0,16.0,128.0,5195,5155
402,1939.0,50cm,6.0,45.0,16.0,128.0,8691,8691
402,2454.0,50cm,6.0,90.0,16.0,128.0,9287,9287
402,1709.0,50cm,5.0,135.0,16.0,128.0,7311,7
402,1921.0,50cm,5.0,90.0,16.0,128.0,8594,8594
402,1945.0,50cm,6.0,45.0,16.0,128.0,8308,8388
402,2874.0,50cm,5.0,135.0,16.0,128.0,6485,6488
402,2070.0,50cm,8.0,90.0,16.0,128.0,2572,2572
402,1713.0,50cm,4.0,90.0,16.0,128.0,7250,7250
402,1568.0,50cm,4.0,90.0,16.0,128.0,2438,2488
402,3113.0,50cm,7.0,135.0,16.0,128.0,9998,9933
402,2324.0,50cm,5.0,90.0,16.0,128.0,9769,9769
402,1962.0,50cm,7.0,45.0,16.0,128.0,4047,4047
402,1956.0,50cm,7.0,90.0,16.0,128.0,4716,4716
