participant_id,time,scale,period,angle,font_size,stripe_color,text,input_text
1,8129.0,100cm,7.0,135.0,16.0,128.0,3822,8190
1,8279.0,100cm,8.0,135.0,16.0,128.0,4666,2
1,6601.0,100cm,8.0,135.0,16.0,128.0,5052,3
1,10225.0,100cm,8.0,135.0,16.0,128.0,6824,4
1,6873.0,100cm,7.0,135.0,16.0,128.0,4365,5
1,6795.0,75cm,7.0,135.0,16.0,128.0,6781,11
1,9305.0,75cm,7.0,135.0,16.0,128.0,8274,
1,6219.0,75cm,8.0,135.0,16.0,128.0,5862,
1,7525.0,75cm,8.0,135.0,16.0,128.0,2202,4
1,10827.0,75cm,8.0,135.0,16.0,128.0,7593,7960
1,2879.0,50cm,7.0,135.0,16.0,128.0,3495,111
1,745.0,50cm,8.0,135.0,16.0,128.0,8636,222
1,697.0,50cm,8.0,135.0,16.0,128.0,5113,333
1,745.0,50cm,7.0,135.0,16.0,128.0,3388,444
1,766.0,50cm,8.0,135.0,16.0,128.0,4288,555
1,1059.0,intended,7.0,135.0,16.0,128.0,8190,1111
1,991.0,intended,8.0,135.0,16.0,128.0,1942,2222
1,856.0,intended,8.0,135.0,16.0,128.0,7960,3333
1,904.0,intended,7.0,135.0,16.0,128.0,5108,4444
1,809.0,intended,8.0,135.0,16.0,128.0,8705,5555
