participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text,accuracy,TorF
412,12758.0,100cm,8.0,3.0,135.0,16.0,128.0,6874,6874,1.0,T
412,4617.0,100cm,8.0,1.0,135.0,16.0,128.0,6365,6365,1.0,T
412,3936.0,100cm,1.0,0.0,0.0,16.0,128.0,8201,8201,1.0,T
412,11705.0,100cm,7.0,4.0,90.0,16.0,128.0,9387,6337,0.5,F
412,6325.0,100cm,5.0,3.0,135.0,16.0,128.0,5532,5532,1.0,T
412,4526.0,100cm,7.0,1.0,135.0,16.0,128.0,4614,4614,1.0,T
412,4299.0,100cm,7.0,2.0,90.0,16.0,128.0,6349,6348,0.75,F
412,4479.0,100cm,4.0,1.0,90.0,16.0,128.0,1390,1390,1.0,T
412,12222.0,100cm,8.0,2.0,45.0,16.0,128.0,8054,8064,0.75,F
412,4050.0,100cm,8.0,2.0,90.0,16.0,128.0,5653,5653,1.0,T
412,5201.0,100cm,6.0,3.0,135.0,16.0,128.0,7796,7755,0.5,F
412,7000.0,100cm,7.0,2.0,45.0,16.0,128.0,9124,9124,1.0,T
412,4276.0,100cm,6.0,1.0,45.0,16.0,128.0,5348,5348,1.0,T
412,3037.0,100cm,1.0,0.0,0.0,16.0,128.0,4431,4431,1.0,T
412,9675.0,100cm,7.0,3.0,135.0,16.0,128.0,7223,7823,0.75,F
412,5540.0,100cm,7.0,2.0,135.0,16.0,128.0,2279,2279,1.0,T
412,9675.0,100cm,6.0,2.0,135.0,16.0,128.0,7827,7937,0.5,F
412,3241.0,100cm,7.0,1.0,45.0,16.0,128.0,1250,1250,1.0,T
412,8841.0,100cm,8.0,3.0,90.0,16.0,128.0,9466,3466,0.75,F
412,3876.0,100cm,5.0,1.0,135.0,16.0,128.0,7236,7236,1.0,T
412,4615.0,100cm,1.0,0.0,0.0,16.0,128.0,4295,4295,1.0,T
412,12466.0,100cm,6.0,3.0,90.0,16.0,128.0,6174,6174,1.0,T
412,13212.0,100cm,4.0,2.0,135.0,16.0,128.0,4228,4348,0.5,F
412,11816.0,100cm,8.0,2.0,135.0,16.0,128.0,3062,3962,0.75,F
412,2858.0,100cm,6.0,1.0,135.0,16.0,128.0,9750,9750,1.0,T
412,6955.0,100cm,7.0,3.0,90.0,16.0,128.0,2875,2875,1.0,T
412,4456.0,100cm,6.0,1.0,90.0,16.0,128.0,8474,8474,1.0,T
412,8666.0,100cm,4.0,3.0,90.0,16.0,128.0,6662,5662,0.75,F
412,8349.0,100cm,5.0,3.0,90.0,16.0,128.0,4264,4264,1.0,T
412,3220.0,100cm,5.0,1.0,90.0,16.0,128.0,7464,7464,1.0,T
412,10283.0,100cm,6.0,2.0,45.0,16.0,128.0,4837,4537,0.75,F
412,5849.0,100cm,8.0,3.0,45.0,16.0,128.0,1003,1009,0.75,F
412,3696.0,100cm,3.0,2.0,90.0,16.0,128.0,1215,1215,1.0,T
412,3826.0,100cm,8.0,1.0,45.0,16.0,128.0,1560,1560,1.0,T
412,4995.0,100cm,6.0,2.0,90.0,16.0,128.0,7171,7171,1.0,T
412,13121.0,100cm,5.0,2.0,135.0,16.0,128.0,2720,2720,1.0,T
412,7832.0,100cm,8.0,4.0,90.0,16.0,128.0,7701,7703,0.75,F
412,6818.0,100cm,6.0,3.0,45.0,16.0,128.0,1273,1373,0.75,F
412,7160.0,100cm,7.0,3.0,45.0,16.0,128.0,7746,7746,1.0,T
412,5805.0,100cm,5.0,2.0,90.0,16.0,128.0,1481,1481,1.0,T
412,12650.0,100cm,4.0,2.0,90.0,16.0,128.0,7977,7977,1.0,T
412,3262.0,100cm,7.0,1.0,90.0,16.0,128.0,1943,1943,1.0,T
412,4546.0,75cm,4.0,2.0,135.0,16.0,128.0,6002,6002,1.0,T
412,2862.0,75cm,4.0,1.0,90.0,16.0,128.0,8605,8605,1.0,T
412,2342.0,75cm,6.0,1.0,135.0,16.0,128.0,1715,1715,1.0,T
412,11473.0,75cm,8.0,4.0,90.0,16.0,128.0,5582,5582,1.0,T
412,3379.0,75cm,7.0,1.0,45.0,16.0,128.0,5267,5267,1.0,T
412,2546.0,75cm,8.0,2.0,45.0,16.0,128.0,3320,3320,1.0,T
412,14403.0,75cm,8.0,3.0,135.0,16.0,128.0,5018,2618,0.5,F
412,4160.0,75cm,5.0,3.0,135.0,16.0,128.0,2968,2968,1.0,T
412,2298.0,75cm,8.0,2.0,90.0,16.0,128.0,1609,1609,1.0,T
412,3420.0,75cm,6.0,2.0,90.0,16.0,128.0,8689,8689,1.0,T
412,3148.0,75cm,5.0,3.0,90.0,16.0,128.0,4001,4001,1.0,T
412,2705.0,75cm,7.0,1.0,90.0,16.0,128.0,2787,2787,1.0,T
412,2588.0,75cm,7.0,2.0,45.0,16.0,128.0,2661,2661,1.0,T
412,3939.0,75cm,7.0,4.0,90.0,16.0,128.0,5327,5327,1.0,T
412,3107.0,75cm,5.0,2.0,135.0,16.0,128.0,3598,3598,1.0,T
412,3468.0,75cm,7.0,3.0,90.0,16.0,128.0,9513,9513,1.0,T
412,4434.0,75cm,8.0,1.0,45.0,16.0,128.0,6353,6353,1.0,T
412,3288.0,75cm,6.0,2.0,135.0,16.0,128.0,8775,5775,0.75,F
412,2995.0,75cm,6.0,1.0,45.0,16.0,128.0,2853,2853,1.0,T
412,2431.0,75cm,7.0,1.0,135.0,16.0,128.0,8120,8120,1.0,T
412,4121.0,75cm,7.0,3.0,45.0,16.0,128.0,8879,8879,1.0,T
412,5513.0,75cm,8.0,3.0,90.0,16.0,128.0,8410,8410,1.0,T
412,2523.0,75cm,6.0,1.0,90.0,16.0,128.0,2043,2043,1.0,T
412,2859.0,75cm,6.0,2.0,45.0,16.0,128.0,6267,6267,1.0,T
412,2904.0,75cm,1.0,0.0,0.0,16.0,128.0,4594,4594,1.0,T
412,4525.0,75cm,6.0,3.0,90.0,16.0,128.0,5186,5186,1.0,T
412,2479.0,75cm,8.0,1.0,135.0,16.0,128.0,7517,7517,1.0,T
412,6751.0,75cm,6.0,3.0,45.0,16.0,128.0,1340,1340,1.0,T
412,3174.0,75cm,4.0,2.0,90.0,16.0,128.0,9204,9204,1.0,T
412,3647.0,75cm,7.0,2.0,90.0,16.0,128.0,9339,9339,1.0,T
412,3037.0,75cm,8.0,3.0,45.0,16.0,128.0,9325,3325,0.75,F
412,9499.0,75cm,6.0,3.0,135.0,16.0,128.0,4389,4385,0.75,F
412,3242.0,75cm,5.0,1.0,90.0,16.0,128.0,6520,6520,1.0,T
412,2448.0,75cm,7.0,3.0,135.0,16.0,128.0,2542,2542,1.0,T
412,2362.0,75cm,5.0,2.0,90.0,16.0,128.0,6060,6060,1.0,T
412,3533.0,75cm,7.0,2.0,135.0,16.0,128.0,5584,5584,1.0,T
412,8307.0,75cm,4.0,3.0,90.0,16.0,128.0,5133,5183,0.75,F
412,3218.0,75cm,1.0,0.0,0.0,16.0,128.0,8562,8562,1.0,T
412,4145.0,75cm,8.0,2.0,135.0,16.0,128.0,6859,6859,1.0,T
412,3736.0,75cm,5.0,1.0,135.0,16.0,128.0,4720,4720,1.0,T
412,3623.0,75cm,3.0,2.0,90.0,16.0,128.0,5443,5443,1.0,T
412,2093.0,75cm,1.0,0.0,0.0,16.0,128.0,1374,1374,1.0,T
412,2226.0,intended,8.0,2.0,45.0,16.0,128.0,5140,5140,1.0,T
412,2094.0,intended,3.0,2.0,90.0,16.0,128.0,9922,9922,1.0,T
412,2051.0,intended,8.0,1.0,45.0,16.0,128.0,3075,3075,1.0,T
412,2680.0,intended,6.0,3.0,90.0,16.0,128.0,3262,3262,1.0,T
412,4773.0,intended,4.0,2.0,90.0,16.0,128.0,2436,2436,1.0,T
412,2293.0,intended,8.0,3.0,135.0,16.0,128.0,3291,3291,1.0,T
412,1713.0,intended,1.0,0.0,0.0,16.0,128.0,1654,1654,1.0,T
412,2884.0,intended,8.0,1.0,135.0,16.0,128.0,8679,8679,1.0,T
412,2699.0,intended,6.0,3.0,135.0,16.0,128.0,5243,5243,1.0,T
412,2998.0,intended,6.0,2.0,135.0,16.0,128.0,5063,5063,1.0,T
412,2252.0,intended,5.0,2.0,90.0,16.0,128.0,8512,8512,1.0,T
412,2298.0,intended,6.0,2.0,90.0,16.0,128.0,7671,7671,1.0,T
412,3856.0,intended,7.0,3.0,45.0,16.0,128.0,3685,3685,1.0,T
412,4070.0,intended,6.0,1.0,135.0,16.0,128.0,4287,4287,1.0,T
412,2028.0,intended,8.0,2.0,135.0,16.0,128.0,2019,2019,1.0,T
412,6620.0,intended,5.0,3.0,90.0,16.0,128.0,7195,7193,0.75,F
412,2071.0,intended,5.0,1.0,135.0,16.0,128.0,8801,8801,1.0,T
412,5650.0,intended,8.0,3.0,90.0,16.0,128.0,6871,6871,1.0,T
412,6481.0,intended,7.0,3.0,90.0,16.0,128.0,3385,3335,0.75,F
412,2003.0,intended,5.0,1.0,90.0,16.0,128.0,1970,1970,1.0,T
412,2052.0,intended,5.0,3.0,135.0,16.0,128.0,1115,1115,1.0,T
412,4929.0,intended,7.0,4.0,90.0,16.0,128.0,3056,3056,1.0,T
412,1980.0,intended,6.0,1.0,45.0,16.0,128.0,8722,8722,1.0,T
412,6526.0,intended,4.0,3.0,90.0,16.0,128.0,6663,6666,0.75,F
412,3987.0,intended,6.0,1.0,90.0,16.0,128.0,3870,3870,1.0,T
412,3780.0,intended,7.0,1.0,135.0,16.0,128.0,5323,5323,1.0,T
412,2882.0,intended,7.0,2.0,135.0,16.0,128.0,4116,4116,1.0,T
