phase_px,scale_factor,resize_kernel,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0,0.5,lanczos,0,,0.0,,0.0,8,0.1
0,0.5,nearest,0,,0.0,,0.0,8,0.1
0,0.5,bilinear,0,,0.0,,0.0,8,0.1
0,0.5,bicubic,0,,0.0,,0.0,8,0.1
2,0.5,lanczos,0,,0.0,,0.0,8,0.1
2,0.5,nearest,0,,0.0,,0.0,8,0.1
2,0.5,bilinear,0,,0.0,,0.0,8,0.1
2,0.5,bicubic,0,,0.0,,0.0,8,0.1
4,0.5,lanczos,0,,0.0,,0.0,8,0.1
4,0.5,nearest,0,,0.0,,0.0,8,0.1
4,0.5,bilinear,0,,0.0,,0.0,8,0.1
4,0.5,bicubic,0,,0.0,,0.0,8,0.1
6,0.5,lanczos,0,,0.0,,0.0,8,0.1
6,0.5,nearest,0,,0.0,,0.0,8,0.1
6,0.5,bilinear,0,,0.0,,0.0,8,0.1
6,0.5,bicubic,0,,0.0,,0.0,8,0.1
0,0.5,lanczos,0,,0.0,,0.0,8,0.3
0,0.5,nearest,0,,0.0,,0.0,8,0.3
0,0.5,bilinear,0,,0.0,,0.0,8,0.3
0,0.5,bicubic,0,,0.0,,0.0,8,0.3
2,0.5,lanczos,0,,0.0,,0.0,8,0.3
2,0.5,nearest,0,,0.0,,0.0,8,0.3
2,0.5,bilinear,0,,0.0,,0.0,8,0.3
2,0.5,bicubic,0,,0.0,,0.0,8,0.3
4,0.5,lanczos,0,,0.0,,0.0,8,0.3
4,0.5,nearest,0,,0.0,,0.0,8,0.3
4,0.5,bilinear,0,,0.0,,0.0,8,0.3
4,0.5,bicubic,0,,0.0,,0.0,8,0.3
6,0.5,lanczos,0,,0.0,,0.0,8,0.3
6,0.5,nearest,0,,0.0,,0.0,8,0.3
6,0.5,bilinear,0,,0.0,,0.0,8,0.3
6,0.5,bicubic,0,,0.0,,0.0,8,0.3
0,0.5,lanczos,0,,0.0,,0.0,8,0.5
0,0.5,nearest,0,,0.0,,0.0,8,0.5
0,0.5,bilinear,0,,0.0,,0.0,8,0.5
0,0.5,bicubic,0,,0.0,,0.0,8,0.5
2,0.5,lanczos,0,,0.0,,0.0,8,0.5
2,0.5,nearest,0,,0.0,,0.0,8,0.5
2,0.5,bilinear,0,,0.0,,0.0,8,0.5
2,0.5,bicubic,0,,0.0,,0.0,8,0.5
4,0.5,lanczos,0,,0.0,,0.0,8,0.5
4,0.5,nearest,0,,0.0,,0.0,8,0.5
4,0.5,bilinear,0,,0.0,,0.0,8,0.5
4,0.5,bicubic,0,,0.0,,0.0,8,0.5
6,0.5,lanczos,0,,0.0,,0.0,8,0.5
6,0.5,nearest,0,,0.0,,0.0,8,0.5
6,0.5,bilinear,0,,0.0,,0.0,8,0.5
6,0.5,bicubic,0,,0.0,,0.0,8,0.5
0,0.5,lanczos,0,,0.0,,0.0,12,0.1
0,0.5,nearest,0,,0.0,,0.0,12,0.1
0,0.5,bilinear,0,,0.0,,0.0,12,0.1
0,0.5,bicubic,0,,0.0,,0.0,12,0.1
3,0.5,lanczos,0,,0.0,,0.0,12,0.1
3,0.5,nearest,0,,0.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,12,0.1
3,0.5,bilinear,0,,0.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,12,0.1
3,0.5,bicubic,0,,0.0,_ABCDEFGHISKEMNOPOQRSTUVWXYZ—,0.8076923076923077,12,0.1
6,0.5,lanczos,0,,0.0,,0.0,12,0.1
6,0.5,nearest,0,,0.0,,0.0,12,0.1
6,0.5,bilinear,0,,0.0,,0.0,12,0.1
6,0.5,bicubic,0,,0.0,,0.0,12,0.1
9,0.5,lanczos,0,ABECDEFGHISKEMNOPORSTOVWXYZ,0.8076923076923077,,0.0,12,0.1
9,0.5,nearest,0,ABECDEFGHISKEMNOPORSTOVWXYZ,0.8076923076923077,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,12,0.1
9,0.5,bilinear,0,ABECDEFGHISKEMNOPORSTOVWXYZ,0.8076923076923077,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,12,0.1
9,0.5,bicubic,0,ABECDEFGHISKEMNOPORSTOVWXYZ,0.8076923076923077,_ABCDEFGHIJKEMNOPQRSTUVWXYZ—,0.8846153846153846,12,0.1
