scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.5,45,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.05
0.5,45,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.1
0.5,45,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.15
0.5,45,,0.0,ABCDEFGHIJKLMNOPQRSTUVWXY2Z,0.9615384615384616,10,0.2
0.5,45,,0.0,ABCDEFGHIJKLMNOPQRSTUVWXY2Z,0.9615384615384616,10,0.25
0.5,45,,0.0,,0.0,10,0.3
0.5,45,,0.0,,0.0,10,0.35
0.5,45,,0.0,,0.0,10,0.4
0.5,45,,0.0,,0.0,10,0.45
0.5,45,,0.0,,0.0,10,0.5
0.5,45,,0.0,,0.0,10,0.55
0.5,45,,0.0,,0.0,10,0.6
0.5,45,,0.0,,0.0,10,0.65
0.5,45,,0.0,,0.0,10,0.7
0.5,45,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,20,0.05
0.5,45,,0.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,20,0.1
0.5,45,,0.0,,0.0,20,0.15
0.5,45,,0.0,,0.0,20,0.2
0.5,45,,0.0,,0.0,20,0.25
0.5,45,,0.0,,0.0,20,0.3
0.5,45,"a4

0;

ide
,

iL
wy
ow A

(

©.

<a

~.",0.0,,0.0,20,0.35
0.5,45,,0.0,,0.0,20,0.4
0.5,45,,0.0,,0.0,20,0.45
0.5,45,,0.0,,0.0,20,0.5
0.5,45,,0.0,,0.0,20,0.55
0.5,45,,0.0,,0.0,20,0.6
0.5,45,,0.0,,0.0,20,0.65
0.5,45,,0.0,,0.0,20,0.7
0.5,45,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,30,0.05
0.5,45,,0.0,ABCD,0.15384615384615385,30,0.1
0.5,45,,0.0,ABCD,0.15384615384615385,30,0.15
0.5,45,"ne Jj
><

VAWXY

a,

“Do
(/)
oY

f

R

(
4

KLMNOF

a,

~

=p =

s

O

Ua

ABCD",0.0,"CDEFGHISKEMNO

AB

e",0.42307692307692313,30,0.2
0.5,45,,0.0,,0.0,30,0.25
0.5,45,,0.0,,0.0,30,0.3
0.5,45,,0.0,,0.0,30,0.35
0.5,45,"CS

a)
we

,",0.038461538461538436,,0.0,30,0.4
0.5,45,"CS

a)
we

,",0.038461538461538436,,0.0,30,0.45
0.5,45,"AO he nN sh \
GH KEMNOPOR STUN
Sl WEY",0.038461538461538436,"OYE
WO

pece

LIT.

FRNA ANOPO ORS",0.0,30,0.5
0.5,45,"BCDEEGHISRRMNOPOR SUNY

>
2! TAT Mh",0.11538461538461542,"DAD TY ae PE RET) AAD ATER Ay
ASO EGER TIN OO RST IN",0.0,30,0.55
0.5,45,"’ Na) aA. ager ys sd ats t rexnaria OVS WA
AY PRR ORT muha ve",0.0,"ye nr an
NOPOR TUM YS",0.2692307692307693,30,0.6
0.5,45,"’ Na) aA. ager ys sd ats t rexnaria OVS WA
AY PRR ORT muha ve",0.0,"ye nr an
NOPOR TUM YS",0.2692307692307693,30,0.65
0.5,45,"rAQoo

a =

-

\y Np Ne

~",0.0,"RR | Qs
WS",0.07692307692307687,30,0.7
0.5,45,"UVWXYZ

oT

Cc
~

MNOPQR",0.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,40,0.05
0.5,45,"TUVWXYZ

QRS",0.11538461538461542,,0.0,40,0.1
0.5,45,,0.0,"QRSTFUVWXYZ

O-",0.1923076923076923,40,0.15
0.5,45,"DVWXYZ

ax
Yd
~",0.038461538461538436,,0.0,40,0.2
0.5,45,"VWXYZ

a=

DEF GHIKEMNORQRS I",0.15384615384615385,"GH KEMNORQRSFUVWAYZ

ABCDEF",0.23076923076923073,40,0.25
0.5,45,ABCOEF GHNKEMNOP QRS FOVWAYZ,0.6153846153846154,ABCOEF GH KEMNORQRS FUVWAYZ,0.6538461538461539,40,0.3
0.5,45,ABCUOEF GH KEMNOPR ORS POVWAYZ,0.5,"BODES
ABCOEE GH KE MNORQRS PUVWAYZ",0.34615384615384615,40,0.35
0.5,45,PCO EE Git Ke MMOR QPS POWAY?!,0.1923076923076923,ABCUOEF GR NIREMMOR QRS TUVWAYY,0.42307692307692313,40,0.4
0.5,45,COE Gt Keto r QPS POV AY,0.23076923076923073,"RECUEE GINA MNOR QRS POWAY?

\",0.2692307692307693,40,0.45
0.5,45,SOE Gt ethos POWAY!,0.1923076923076923,"2

RECUR GIR MNOR QPS POWAY?",0.23076923076923073,40,0.5
0.5,45,"HOOVER |
bey Tet & ne cy =~ Wor
NON Qe WV A

~_",0.0,"state AWA Ra SAS
POCO EE GOP QRS UWIAA",0.0,40,0.55
0.5,45,,0.0,AR OU EE GAS One QS EWEN,0.11538461538461542,40,0.6
0.5,45,"-_~ = =

toe x \ era Woy foes
OG HON EM AN",0.0,,0.0,40,0.65
0.5,45,,0.0,,0.0,40,0.7
0.5,45,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,50,0.05
0.5,45,"ABC

3

=FG

@

TOVWXYZ
RS iN

QPQ

IIKLM",0.0,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,50,0.1
0.5,45,ABCDEFGHINKLMNOPORSTUVWXYZ,0.9230769230769231,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,50,0.15
0.5,45,OPORSTUVWXYZ,0.42307692307692313,-GHIKLMNOPORSTUVWXYZ,0.6923076923076923,50,0.2
0.5,45,ABCOEFGHNKLMNOQPORS TUVWXYZ,0.7692307692307692,FIIKEMNOPORSTUVWXYZ,0.6153846153846154,50,0.25
0.5,45,ABCOLFGNNKALMNOPORSTUVWAYZ,0.6923076923076923,ABCOEFGHIIKUMNOPORS TUVWXYZ,0.8076923076923077,50,0.3
0.5,45,ABCOLEGMNKREMMNOPORS TU WAZ,0.46153846153846156,ABCOBEGHIKEMMNOPORSTUOVWAYZ,0.6538461538461539,50,0.35
0.5,45,AECOLE GIRL MOPO RS TU WIA Z,0.3846153846153846,ABCOBEGHIIKUM MORO RSTO VWAYZ,0.5,50,0.4
0.5,45,POCO EE Gr MOPO ROT VAN ZZ,0.23076923076923073,RECO EE GEM MOP O RST VIAN Z,0.23076923076923073,50,0.45
0.5,45,PoC LE arte PO ROT AV ZZ,0.1923076923076923,RECO EE ELM MOP O RST VIAN,0.23076923076923073,50,0.5
0.5,45,Poe e ait TOP ORO WANE,0.11538461538461542,"RSS
DOC DOF aeRO RS VANE",0.15384615384615385,50,0.55
0.5,45,"Pe att TOR GR WAN

~ |",0.0,,0.0,50,0.6
