scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.05
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.1
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.15
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.2
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.25
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.3
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.35
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.4
0.75,90,"BCDEFGHIJKLINCPQRSTUV ""XYZ",0.8076923076923077,BCDEFGHIJKLMNCPQRSTUVWX,0.8461538461538461,4,0.45
0.75,90,,0.0,,0.0,4,0.5
0.75,90,,0.0,,0.0,4,0.55
0.75,90,,0.0,,0.0,4,0.6
0.75,90,,0.0,,0.0,4,0.65
0.75,90,,0.0,,0.0,4,0.7
0.75,90,4BCLEFSHUKLMNCPQRSTUVI,0.6153846153846154,4BCLEFSHUKLNNCPQRS,0.46153846153846156,6,0.05
0.75,90,4BCLEFSHUKLMNCPQRSTUVI,0.6153846153846154,4BCLEFSHUKLNNCPQRS,0.46153846153846156,6,0.1
0.75,90,4BCLEFSHUKLMNCPQRSTUVI,0.6153846153846154,4BCLEFSHUKLNNCPQRS,0.46153846153846156,6,0.15
0.75,90,4BCLEFSHUKLMNCPQRSTUVI,0.6153846153846154,4BCLEFSHUKLNNCPQRS,0.46153846153846156,6,0.2
0.75,90,4BCLEFSHUKLMNCPQRSTUVI,0.6153846153846154,4BCLEFSHUKLNNCPQRS,0.46153846153846156,6,0.25
0.75,90,4BCLEFSHUKLMNCPQRSTUVI,0.6153846153846154,4BCLEFSHUKLNNCPQRS,0.46153846153846156,6,0.3
0.75,90,CLE KLMNCPOFRS;TUJV,0.34615384615384615,,0.0,6,0.35
0.75,90,CLE KLMNCPOFRS;TUJV,0.34615384615384615,,0.0,6,0.4
