scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.05
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.1
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.15
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.2
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.25
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.3
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.35
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.4
0.75,150,,0.0,ascosromamuamscenny,0.0,4,0.45
0.75,150,te,0.0,"Z Zz
LZLLLLLLLLLLL A",0.038461538461538436,4,0.5
0.75,150,te,0.0,"Z Zz
LZLLLLLLLLLLL A",0.038461538461538436,4,0.55
0.75,150,te,0.0,"Z Zz
LZLLLLLLLLLLL A",0.038461538461538436,4,0.6
0.75,150,te,0.0,"Z Zz
LZLLLLLLLLLLL A",0.038461538461538436,4,0.65
0.75,150,te,0.0,"Z Zz
LZLLLLLLLLLLL A",0.038461538461538436,4,0.7
0.75,150,‘ABCDEFGHIAIKL.MINOPC,0.42307692307692313,ecperonmaansecastu nn,0.0,6,0.05
0.75,150,‘ABCDEFGHIAIKL.MINOPC,0.42307692307692313,ecperonmaansecastu nn,0.0,6,0.1
0.75,150,‘ABCDEFGHIAIKL.MINOPC,0.42307692307692313,ecperonmaansecastu nn,0.0,6,0.15
0.75,150,‘ABCDEFGHIAIKL.MINOPC,0.42307692307692313,ecperonmaansecastu nn,0.0,6,0.2
0.75,150,‘ABCDEFGHIAIKL.MINOPC,0.42307692307692313,ecperonmaansecastu nn,0.0,6,0.25
0.75,150,‘ABCDEFGHIAIKL.MINOPC,0.42307692307692313,ecperonmaansecastu nn,0.0,6,0.3
0.75,150,APCDEFGHIKLAANOB OR,0.42307692307692313,"LLL
LLL IE",0.038461538461538436,6,0.35
0.75,150,APCDEFGHIKLAANOB OR,0.42307692307692313,"LLL
LLL IE",0.038461538461538436,6,0.4
0.75,150,APCDEFGHIKLAANOB OR,0.42307692307692313,"LLL
LLL IE",0.038461538461538436,6,0.45
0.75,150,,0.0,"Zz
LA",0.038461538461538436,6,0.5
0.75,150,,0.0,"Zz
LA",0.038461538461538436,6,0.55
0.75,150,,0.0,"Zz
LA",0.038461538461538436,6,0.6
0.75,150,,0.0,"Zz
LA",0.038461538461538436,6,0.65
0.75,150,,0.0,"AZ
Lz",0.07692307692307687,6,0.7
0.75,150,ABCDEFGHI.IKLMNOPORSTUWWIYZ,0.8076923076923077,-secoerovaumumoscastuane,0.0,8,0.05
0.75,150,ABCDEFGHI.IKLMNOPORSTUWWIYZ,0.8076923076923077,-secoerovaumumoscastuane,0.0,8,0.1
0.75,150,ABCDEFGHI.IKLMNOPORSTUWWIYZ,0.8076923076923077,-secoerovaumumoscastuane,0.0,8,0.15
0.75,150,ABCDEFGHI.IKLMNOPORSTUWWIYZ,0.8076923076923077,-secoerovaumumoscastuane,0.0,8,0.2
0.75,150,HLIKLINNORORSTUMAN XYZ,0.34615384615384615,"ED

a LLLLAA
ess",0.07692307692307687,8,0.25
0.75,150,HLIKLINNORORSTUMAN XYZ,0.34615384615384615,"ED

a LLLLAA
ess",0.07692307692307687,8,0.3
0.75,150,HLIKLINNORORSTUMAN XYZ,0.34615384615384615,"ED

a LLLLAA
ess",0.07692307692307687,8,0.35
0.75,150,LIARS WZ,0.1923076923076923,Le,0.038461538461538436,8,0.4
0.75,150,LIARS WZ,0.1923076923076923,Le,0.038461538461538436,8,0.45
0.75,150,Lie,0.038461538461538436,ZG,0.038461538461538436,8,0.5
0.75,150,Lie,0.038461538461538436,ZG,0.038461538461538436,8,0.55
0.75,150,Lie,0.038461538461538436,ZG,0.038461538461538436,8,0.6
0.75,150,,0.0,"Zz
LLP",0.07692307692307687,8,0.65
0.75,150,,0.0,"Zz
LLP",0.07692307692307687,8,0.7
0.75,150,-ABCUEFGHISKL.MNOPORSTUYWXYZ,0.7692307692307692,_RooEFaRIIR MNGFORSTINWCNZ,0.3846153846153846,10,0.05
0.75,150,-ABCUEFGHISKL.MNOPORSTUYWXYZ,0.7692307692307692,_RooEFaRIIR MNGFORSTINWCNZ,0.3846153846153846,10,0.1
0.75,150,-ABCUEFGHISKL.MNOPORSTUYWXYZ,0.7692307692307692,_RooEFaRIIR MNGFORSTINWCNZ,0.3846153846153846,10,0.15
0.75,150,ABODETHGKL MINOPORSTUNINYZ,0.5769230769230769,Ca oRaNCRSTINNCETE,0.15384615384615385,10,0.2
0.75,150,ABODETHGKL MINOPORSTUNINYZ,0.5769230769230769,Ca oRaNCRSTINNCETE,0.15384615384615385,10,0.25
0.75,150,ABOUEFSHiL aK aaniorORSTINWEYZ,0.3076923076923077,,0.0,10,0.3
0.75,150,ABOUEFSHiL aK aaniorORSTINWEYZ,0.3076923076923077,,0.0,10,0.35
0.75,150,,0.0,,0.0,10,0.4
0.75,150,,0.0,,0.0,10,0.45
0.75,150,Lee,0.038461538461538436,ZB,0.038461538461538436,10,0.5
0.75,150,Lee,0.038461538461538436,ZB,0.038461538461538436,10,0.55
0.75,150,LEELA RC EINCL,0.11538461538461542,,0.0,10,0.6
0.75,150,LEELA RC EINCL,0.11538461538461542,,0.0,10,0.65
0.75,150,,0.0,Zw,0.0,10,0.7
0.75,150,"‘ABCUEFGHI,IKLMNOPORSTUYWHYZ",0.7307692307692308,-eoogFOHLMUMNOsCRSTINNIN,0.3076923076923077,12,0.05
0.75,150,"‘ABCUEFGHI,IKLMNOPORSTUYWHYZ",0.7307692307692308,-eoogFOHLMUMNOsCRSTINNIN,0.3076923076923077,12,0.1
0.75,150,"‘ABCUEFGHI,IKLMNOPORSTUYWHYZ",0.7307692307692308,-eoogFOHLMUMNOsCRSTINNIN,0.3076923076923077,12,0.15
0.75,150,‘APODEFGHI.IKLHINOPORSTUNWNYZ,0.6153846153846154,‘ec nsMNOCRSTINON,0.23076923076923073,12,0.2
0.75,150,‘APOUEFOAL IKCRNOPONSTINIIENZ,0.2692307692307693,LO,0.07692307692307687,12,0.25
0.75,150,‘APOUEFOAL IKCRNOPONSTINIIENZ,0.2692307692307693,LO,0.07692307692307687,12,0.3
0.75,150,APOUEFSH| NChMNOPONSTU WINE,0.42307692307692313,Lo,0.038461538461538436,12,0.35
0.75,150,APOUEFSH| NChMNOPONSTU WINE,0.42307692307692313,Lo,0.038461538461538436,12,0.4
0.75,150,"ae,",0.0,LD,0.038461538461538436,12,0.45
0.75,150,EES DPBS SDS,0.11538461538461542,,0.0,12,0.5
0.75,150,EES DPBS SDS,0.11538461538461542,,0.0,12,0.55
0.75,150,,0.0,,0.0,12,0.6
0.75,150,,0.0,,0.0,12,0.65
0.75,150,LEM PLLA,0.11538461538461542,,0.0,12,0.7
0.75,150,‘ABCDEFGHIJKL.MINOPORSTUVWXYZ,0.8461538461538461,-ecceFva a unosoRSTuNin,0.15384615384615385,14,0.05
0.75,150,‘ABCDEFGHIJKL.MINOPORSTUVWXYZ,0.8461538461538461,-ecceFva a unosoRSTuNin,0.15384615384615385,14,0.1
0.75,150,‘ABCOEFGHIJKLMINOPORSTUVWHYZ,0.8076923076923077,‘ceva aNoscRSTUON,0.1923076923076923,14,0.15
0.75,150,‘ABCOEFGHIJKLMINOPORSTUVWHYZ,0.8076923076923077,‘ceva aNoscRSTUON,0.1923076923076923,14,0.2
0.75,150,‘REC OEFGHIIKL NOPORSTNINIENZ,0.46153846153846156,,0.0,14,0.25
0.75,150,‘AecokFowiiKL OCURSTANENL,0.2692307692307693,,0.0,14,0.3
0.75,150,‘AecokFowiiKL OCURSTANENL,0.2692307692307693,,0.0,14,0.35
0.75,150,,0.0,,0.0,14,0.4
0.75,150,,0.0,GEELLOE,0.11538461538461542,14,0.45
0.75,150,,0.0,"af
LEGLEDE",0.11538461538461542,14,0.5
0.75,150,,0.0,"af
LEGLEDE",0.11538461538461542,14,0.55
0.75,150,"Sod eM,",0.038461538461538436,"OA
EELS",0.11538461538461542,14,0.6
0.75,150,Moho,0.038461538461538436,"of:
ELLE",0.07692307692307687,14,0.65
0.75,150,Moho,0.038461538461538436,"of:
ELLE",0.07692307692307687,14,0.7
0.75,150,-ABCDEFGHIJKLMNOPORSTUWWKYZ,0.8461538461538461,-ecoRFortaeCRSTNE,0.15384615384615385,16,0.05
0.75,150,-ABCDEFGHIJKLMNOPORSTUWWKYZ,0.8461538461538461,-ecoRFortaeCRSTNE,0.15384615384615385,16,0.1
0.75,150,APODEFGHIJKLMNOPORSTUWWWXYZ,0.8076923076923077,‘rocks necRsTNe,0.07692307692307687,16,0.15
0.75,150,‘APOUEFQH/IKL MNOPORSTUWWWHYZ,0.5384615384615384,,0.0,16,0.2
0.75,150,-APQUEFCWIJKL MWOPONSTUWWVRYZ.,0.46153846153846156,,0.0,16,0.25
0.75,150,-APQUEFCWIJKL MWOPONSTUWWVRYZ.,0.46153846153846156,,0.0,16,0.3
0.75,150,"‘ABOUEFCMTIKL MAOPONSTUNEVRYZ,",0.3846153846153846,,0.0,16,0.35
0.75,150,,0.0,,0.0,16,0.4
0.75,150,,0.0,,0.0,16,0.45
0.75,150,,0.0,,0.0,16,0.5
0.75,150,,0.0,,0.0,16,0.55
0.75,150,,0.0,,0.0,16,0.6
0.75,150,,0.0,,0.0,16,0.65
0.75,150,,0.0,,0.0,16,0.7
